seqno,configno,fitnessScore,dust,lcase_masking,soft_masking,ungapped,xdrop_gap,xdrop_gap_final,xdrop_ungap
6406,1958,82.333333333,20 64 1,FALSE,FALSE,FALSE,30,0.1,0.5
6406,1962,82.333333333,20 64 1,FALSE,FALSE,FALSE,30,0.5,0.1
6406,1963,82.333333333,20 64 1,FALSE,FALSE,FALSE,30,0.5,0.5
6406,1967,82.333333333,20 64 1,FALSE,FALSE,FALSE,30,10,0.1
6406,1968,82.333333333,20 64 1,FALSE,FALSE,FALSE,30,10,0.5
6407,1597,143.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6407,1598,143.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6408,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6409,1974,87,20 64 1,FALSE,FALSE,FALSE,30,100,20
6410,1724,79.923,20 64 1,FALSE,TRUE,FALSE,30,100,20
6411,1597,2033.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6411,1598,2033.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6412,1724,79.846,20 64 1,FALSE,TRUE,FALSE,30,100,20
6413,1847,102.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6413,1848,102.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6414,2599,82.76475,no,FALSE,TRUE,TRUE,30,100,20
6415,1724,78.525,20 64 1,FALSE,TRUE,FALSE,30,100,20
6416,1599,86.84275,20 64 1,FALSE,TRUE,TRUE,30,100,20
6417,1724,79.844,20 64 1,FALSE,TRUE,FALSE,30,100,20
6418,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6419,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6420,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6421,1597,2693.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6421,1598,2693.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6422,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6422,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6423,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6424,2597,101.777833333,no,FALSE,TRUE,TRUE,30,100,0.1
6424,2598,101.777833333,no,FALSE,TRUE,TRUE,30,100,0.5
6425,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6426,1597,83.4125,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6426,1598,83.4125,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6427,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6427,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6428,2597,92.333333333,no,FALSE,TRUE,TRUE,30,100,0.1
6428,2598,92.333333333,no,FALSE,TRUE,TRUE,30,100,0.5
6429,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6430,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6431,1974,87,20 64 1,FALSE,FALSE,FALSE,30,100,20
6432,1597,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6432,1598,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6433,1724,79.768,20 64 1,FALSE,TRUE,FALSE,30,100,20
6434,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6434,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6435,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6435,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6436,1724,79.759,20 64 1,FALSE,TRUE,FALSE,30,100,20
6437,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6437,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6438,1847,82.169333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6438,1848,82.169333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6439,1724,79.916,20 64 1,FALSE,TRUE,FALSE,30,100,20
6440,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6441,1599,85.6095,20 64 1,FALSE,TRUE,TRUE,30,100,20
6442,1599,87,20 64 1,FALSE,TRUE,TRUE,30,100,20
6443,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6443,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6444,1597,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6444,1598,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6445,2724,85.19825,no,FALSE,TRUE,FALSE,30,100,20
6446,2599,363.5,no,FALSE,TRUE,TRUE,30,100,20
6447,1847,81.902333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6447,1848,81.902333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6448,1849,83.5,20 64 1,FALSE,FALSE,TRUE,30,100,20
6448,1954,83.5,20 64 1,FALSE,FALSE,FALSE,30,0,20
6448,1959,83.5,20 64 1,FALSE,FALSE,FALSE,30,0.1,20
6448,1964,83.5,20 64 1,FALSE,FALSE,FALSE,30,0.5,20
6448,1969,83.5,20 64 1,FALSE,FALSE,FALSE,30,10,20
6449,1599,87,20 64 1,FALSE,TRUE,TRUE,30,100,20
6450,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6451,1847,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6451,1848,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
6452,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6453,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6454,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6454,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6455,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
6456,1724,79.0445,20 64 1,FALSE,TRUE,FALSE,30,100,20
6457,1597,143.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6457,1598,143.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6458,1597,203.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
6458,1598,203.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6459,1849,83.5,20 64 1,FALSE,FALSE,TRUE,30,100,20
6459,2599,83.5,no,FALSE,TRUE,TRUE,30,100,20
6460,1599,96.569,20 64 1,FALSE,TRUE,TRUE,30,100,20
6461,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
6461,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
