seqno,configno,distance,medianpercid,medianeval,hits,fitnessScore
674,1724,0,100,0,1,80
677,1724,0,99.855,0,1,79.9275
678,1724,0,99.855,0,1,79.9275
679,1724,0,100,0,1,80
682,1724,0,100,0,1,80
686,1724,0,100,0,1,80
687,1724,0,95.7865,0,2,87.89325
688,1724,0,99.221,0,1,79.6105
690,1724,0,100,0,1,80
692,1724,0,99.5,0,1,79.75
699,1724,0,99.3245,0,2,89.66225
700,1724,0,100,0,1,80
704,1724,0,100,0,1,80
705,1724,0,100,0,1,80
706,1724,0,100,0,1,80
708,1724,0,100,0,1,80
710,1724,0,99.859,0,1,79.9295
711,1724,0,94.34,0,6,127.17
713,1724,0,99.712,0,1,79.856
714,1724,0,100,0,1,80
715,1724,0,100,0,1,80
721,1724,0,96.869,0,1,78.4345
724,1724,0,100,0,1,80
731,1724,0,100,0,1,80
735,1724,0,99.847,0,1,79.9235
736,1724,0,100,0,1,80
742,1724,0,99.774,0,1,79.887
746,1724,0,100,0,1,80
747,1724,0,100,0,1,80
749,1724,0,100,0,1,80
751,1724,0,100,0,1,80
753,1724,0,100,0,1,80
758,1724,0,100,0,1,80
759,1724,0,97.8835,0,2,88.94175
761,1724,0,100,0,1,80
763,1724,0,99.699,0,1,79.8495
764,1724,0,100,0,1,80
766,1724,0,99.529,0,1,79.7645
768,1724,0,99.849,0,1,79.9245
774,1724,0,100,0,1,80
775,1724,0,100,0,3,100
778,1724,0,100,0,1,80
783,1724,0,100,0,1,80
786,1724,0,100,0,1,80
801,1724,0,97.778,0,2,88.889
803,1724,0,100,0,1,80
807,1724,0,100,0,1,80
810,1724,0,99.392,0,1,79.696
813,1724,0,100,0,1,80
814,1724,0,99.708,0,1,79.854
815,1724,0,100,0,3,100
817,1724,0,100,0,1,80
820,1724,0,100,0,1,80
822,1724,0,99.438,0,1,79.719
825,1724,0,100,0,1,80
829,1724,0,100,0,1,80
830,1724,0,100,0,1,80
832,1724,0,100,0,1,80
835,1724,0,100,0,1,80
836,1724,0,100,0,1,80
839,1724,0,95.17,0,1,77.585
840,1724,0,100,0,1,80
842,1724,0,100,0,1,80
847,1724,0,100,0,3,100
850,1724,0,99.853,0,1,79.9265
857,1724,0,100,0,1,80
861,1724,0,100,0,1,80
862,1724,0,97.8835,0,2,88.94175
865,1724,0,100,0,1,80
867,1724,0,100,0,1,80
870,1724,0,100,0,1,80
873,1724,0,100,0,1,80
881,1724,0,100,0,2,90
882,1724,0,100,0,1,80
886,1724,0,100,0,3,100
891,1724,0,100,0,1,80
898,1724,0,97.509,0,1,78.7545
901,1724,0,100,0,3,100
903,1724,0,100,0,2,90
917,1724,0,96.373,0,1,78.1865
922,1724,0,100,0,1,80
924,1724,0,100,0,3,100
926,1724,0,100,0,1,80
927,1724,0,100,0,1,80
929,1724,0,100,0,1,80
934,1724,0,100,0,1,80
938,1724,0,100,0,1,80
943,1724,0,99.845,0,1,79.9225
944,1724,0,98.776,0,1,79.388
951,1724,0,99.11,0,1,79.555
956,1724,0,100,0,1,80
962,1724,0,100,0,1,80
965,1724,0,100,0,2,90
966,1724,0,100,0,1,80
967,1724,0,100,0,1,80
968,1724,0,100,0,1,80
971,1724,0,100,0,3,100
978,1724,0,99.64,0,1,79.82
990,1724,0,100,0,1,80
992,1724,0,97.991,0,1,78.9955
993,1724,0,98.323,0,1,79.1615
995,1724,0,100,0,1,80
999,1724,0,100,0,1,80
1001,1724,0,100,0,1,80
1004,1724,0,100,0,1,80
1005,1724,0,93.925,0,2,86.9625
1013,1724,0,99.53,0,1,79.765
1015,1724,0,95.42,0,1,77.71
1018,1724,0,100,0,1,80
1019,1724,0,100,0,1,80
1025,1724,0,100,0,1,80
1026,1724,0,100,0,1,80
1029,1724,0,100,0,1,80
1031,1724,0,100,0,1,80
1035,1724,0,100,0,1,80
1046,1724,0,94.34,0,6,127.17
1050,1724,0,99.564,0,1,79.782
1051,1724,0,100,0,1,80
1053,1724,0,100,0,1,80
1056,1724,0,100,0,1,80
1058,1724,0,96.729,0,1,78.3645
1062,1724,0,99.288,0,1,79.644
1066,1724,0,100,0,1,80
1075,1724,0,97.8835,0,2,88.94175
1078,1724,0,99.427,0,1,79.7135
1080,1724,0,100,0,1,80
1081,1724,0,100,0,1,80
1082,1724,0,100,0,1,80
1083,1724,0,94.273,0,2,87.1365
1084,1724,0,100,0,2,90
1088,1724,0,100,0,1,80
1089,1724,0,100,0,1,80
1090,1724,0,98.271,0,1,79.1355
1092,1724,0,100,0,1,80
1097,1724,0,99.084,0,1,79.542
1100,1724,0,100,0,1,80
1101,1724,0,100,0,3,100
1106,1724,0,96.203,0,1,78.1015
1107,1724,0,100,0,1,80
1108,1724,0,100,0,1,80
1109,1724,0,99.857,0,1,79.9285
1110,1724,0,100,0,1,80
1113,1724,0,100,0,1,80
1114,1724,0,100,0,1,80
1116,1724,0,100,0,1,80
1117,1724,0,100,0,1,80
1121,1724,0,100,0,1,80
1130,1724,0,100,0,1,80
1131,1724,0,100,0,1,80
1133,1724,0,100,0,1,80
1136,1724,0,100,0,1,80
1137,1724,0,100,0,1,80
1140,1724,0,100,0,1,80
1141,1724,0,100,0,1,80
1143,1724,0,100,0,1,80
1145,1724,0,99.711,0,1,79.8555
1146,1724,0,100,0,1,80
1149,1724,0,100,0,1,80
1155,1724,0,100,0,1,80
1159,1724,0,100,0,1,80
1161,1724,0,100,0,1,80
1162,1724,0,100,0,1,80
1163,1724,0,100,0,1,80
1165,1724,0,100,0,1,80
1167,1724,0,100,0,1,80
1173,1724,0,100,0,1,80
1175,1724,0,99.813,0,1,79.9065
1177,1724,0,100,0,1,80
1180,1724,0,100,0,1,80
1181,1724,0,99.563,0,1,79.7815
1182,1724,0,91.74,0,2,85.87
1183,1724,0,100,0,1,80
1184,1724,0,100,0,1,80
1185,1724,0,99.847,0,1,79.9235
1186,1724,0,100,0,1,80
1187,1724,0,99.841,0,1,79.9205
1188,1724,0,100,0,1,80
1191,1724,0,99.71,0,1,79.855
1192,1724,0,100,0,1,80
1194,1724,0,100,0,1,80
1197,1724,0,100,0,1,80
1198,1724,0,100,0,1,80
1201,1724,0,100,0,1,80
1202,1724,0,100,0,1,80
1204,1724,0,99.557,0,1,79.7785
1205,1724,0,100,0,1,80
1208,1724,0,99.844,0,1,79.922
1211,1724,0,100,0,1,80
1213,1724,0,100,0,1,80
1215,1724,0,99.849,0,1,79.9245
1220,1724,0,100,0,1,80
1224,1724,0,100,0,1,80
1232,1724,0,100,0,2,90
1236,1724,0,100,0,1,80
1237,1724,0,100,0,1,80
1238,1724,0,100,0,1,80
1242,1724,0,100,0,1,80
1243,1724,0,99.819,0,1,79.9095
1244,1724,0,100,0,1,80
1247,1724,0,100,0,1,80
1248,1724,0,100,0,1,80
1249,1724,0,100,0,1,80
1257,1724,0,99.839,0,1,79.9195
1261,1724,0,100,0,1,80
1262,1724,0,100,0,1,80
1263,1724,0,100,0,1,80
1266,1724,0,99.319,0,2,89.6595
1269,1724,0,99.692,0,1,79.846
1270,1724,0,100,0,1,80
1271,1724,0,100,0,1,80
1272,1724,0,97.087,0,1,78.5435
1275,1724,0,100,0,1,80
1278,1724,0,100,0,1,80
1282,1724,0,90.588,0,3,95.294
1285,1724,0,100,0,1,80
1286,1724,0,100,0,1,80
1287,1724,0,99.9105,0,2,89.95525
1288,1724,0,100,0,1,80
1292,1724,0,100,0,1,80
1293,1724,0,100,0,1,80
1296,1724,0,99.849,0,1,79.9245
1297,1724,0,100,0,1,80
1298,1724,0,100,0,1,80
1299,1724,0,100,0,1,80
1301,1724,0,94.909,0,2,87.4545
1304,1724,0,98.6,0,1,79.3
1308,1724,0,100,0,1,80
1313,1724,0,100,0,1,80
1315,1724,0,94.35,0,3,97.175
1319,1724,0,95.779,0,1,77.8895
1320,1724,0,100,0,1,80
1321,1724,0,100,0,1,80
1326,1724,0,93.388,0,1,76.694
1327,1724,0,100,0,1,80
1331,1724,0,100,0,1,80
1332,1724,0,100,0,1,80
1335,1724,0,100,0,1,80
1336,1724,0,100,0,1,80
1338,1724,0,100,0,1,80
1343,1724,0,99.84,0,1,79.92
1345,1724,0,100,0,1,80
1347,1724,0,100,0,3,100
1354,1724,0,100,0,1,80
1355,1724,0,100,0,1,80
1356,1724,0,99.845,0,1,79.9225
1357,1724,0,99.038,0,1,79.519
1359,1724,0,97,0,1,78.5
1361,1724,0,100,0,1,80
1362,1724,0,100,0,1,80
1365,1724,0,100,0,1,80
1366,1724,0,96.774,0,1,78.387
1367,1724,0,100,0,1,80
1373,1724,0,100,0,1,80
1378,1724,0,98.289,0,1,79.1445
1381,1724,0,100,0,1,80
1383,1724,0,99.91,0,2,89.955
1385,1724,0,98.4065,0,2,89.20325
1389,1724,0,100,0,1,80
1391,1724,0,100,0,1,80
1392,1724,0,100,0,1,80
1393,1724,0,100,0,2,90
1397,1724,0,100,0,1,80
1399,1724,0,95.238,0,1,77.619
1401,1724,0,100,0,1,80
1403,1724,0,100,0,1,80
1415,1724,0,100,0,1,80
1416,1724,0,100,0,1,80
1420,1724,0,100,0,1,80
1426,1724,0,100,0,1,80
1430,1724,0,100,0,1,80
1434,1724,0,99.809,0,1,79.9045
1437,1724,0,100,0,1,80
1438,1724,0,100,0,1,80
1443,1724,0,98.822,0,1,79.411
1445,1724,0,100,0,1,80
1448,1724,0,100,0,1,80
1449,1724,0,100,0,1,80
1455,1724,0,94.909,0,2,87.4545
1459,1724,0,100,0,1,80
1461,1724,0,100,0,3,100
1462,1724,0,100,0,1,80
1468,1724,0,100,0,1,80
1480,1724,0,100,0,1,80
1481,1724,0,98.839,0,1,79.4195
1482,1724,0,100,0,1,80
1484,1724,0,100,0,1,80
1486,1724,0,100,0,2,90
1490,1724,0,99.848,0,1,79.924
1493,1724,0,100,0,1,80
1494,1724,0,100,0,1,80
1496,1724,0,97.8835,0,2,88.94175
1501,1724,0,100,0,1,80
1502,1724,0,100,0,1,80
1503,1724,0,97.8725,0,2,88.93625
1510,1724,0,100,0,1,80
1512,1724,0,100,0,1,80
1516,1724,0,100,0,1,80
1520,1724,0,99.849,0,1,79.9245
1521,1724,0,100,0,3,100
1522,1724,0,100,0,1,80
1524,1724,0,100,0,2,90
1529,1724,0,100,0,1,80
1531,1724,0,100,0,1,80
1532,1724,0,99.844,0,1,79.922
1533,1724,0,100,0,1,80
1534,1724,0,99.851,0,1,79.9255
1544,1724,0,94.34,0,6,127.17
1549,1724,0,100,0,1,80
1551,1724,0,97.561,0,1,78.7805
1553,1724,0,97.518,0,1,78.759
1562,1724,0,94.35,0,3,97.175
1564,1724,0,100,0,1,80
1566,1724,0,99.701,0,1,79.8505
1576,1724,0,100,0,1,80
1580,1724,0,100,0,1,80
1584,1724,0,100,0,1,80
1585,1724,0,99.766,0,2,89.883
1586,1724,0,99.83,0,1,79.915
1589,1724,0,100,0,1,80
1591,1724,0,100,0,2,90
1592,1724,0,94.406,0,1,77.203
1593,1724,0,94.4475,0,2,87.22375
1594,1724,0,100,0,1,80
1597,1724,0,100,0,1,80
1599,1724,0,100,0,1,80
1600,1724,0,99.847,0,1,79.9235
1602,1724,0,100,0,1,80
1604,1724,0,100,0,1,80
1614,1724,0,99.772,0,2,89.886
1618,1724,0,100,0,1,80
1626,1724,0,100,0,1,80
1628,1724,0,100,0,1,80
1630,1724,0,94.909,0,2,87.4545
1636,1724,0,92.405,0,1,76.2025
1637,1724,0,100,0,1,80
1644,1724,0,100,0,1,80
1654,1724,0,99.299,0,1,79.6495
1657,1724,0,99.551,0,2,89.7755
1662,1724,0,98.165,0,1,79.0825
1664,1724,0,100,0,1,80
1672,1724,0,100,0,1,80
1674,1724,0,100,0,1,80
1678,1724,0,100,0,1,80
1686,1724,0,100,0,1,80
1694,1724,0,100,0,1,80
1696,1724,0,100,0,1,80
1710,1724,0,99.686,0,1,79.843
1712,1724,0,98.71,0,1,79.355
1720,1724,0,100,0,1,80
1722,1724,0,100,0,1,80
1723,1724,0,99.682,0,1,79.841
1726,1724,0,99.92,0,2,89.96
1729,1724,0,100,0,1,80
1739,1724,0,100,0,3,100
1740,1724,0,100,0,1,80
1745,1724,0,99.834,0,1,79.917
1749,1724,0,100,0,1,80
1757,1724,0,100,0,3,100
1758,1724,0,100,0,1,80
1765,1724,0,100,0,1,80
1766,1724,0,99.846,0,1,79.923
1772,1724,0,97.8835,0,2,88.94175
1778,1724,0,100,0,1,80
1781,1724,0,99.847,0,1,79.9235
1782,1724,0,99.672,0,1,79.836
