configno,dust,lcase_masking,soft_masking,ungapped,xdrop_gap,xdrop_gap_final,xdrop_ungap
193,yes,TRUE,TRUE,FALSE,0.5,10,0.5
194,yes,TRUE,TRUE,FALSE,0.5,10,20
195,yes,TRUE,TRUE,FALSE,0.5,10,100
196,yes,TRUE,TRUE,FALSE,0.5,100,0
197,yes,TRUE,TRUE,FALSE,0.5,100,0.1
198,yes,TRUE,TRUE,FALSE,0.5,100,0.5
199,yes,TRUE,TRUE,FALSE,0.5,100,20
200,yes,TRUE,TRUE,FALSE,0.5,100,100
201,yes,TRUE,TRUE,FALSE,30,0,0
202,yes,TRUE,TRUE,FALSE,30,0,0.1
203,yes,TRUE,TRUE,FALSE,30,0,0.5
204,yes,TRUE,TRUE,FALSE,30,0,20
205,yes,TRUE,TRUE,FALSE,30,0,100
206,yes,TRUE,TRUE,FALSE,30,0.1,0
207,yes,TRUE,TRUE,FALSE,30,0.1,0.1
208,yes,TRUE,TRUE,FALSE,30,0.1,0.5
209,yes,TRUE,TRUE,FALSE,30,0.1,20
210,yes,TRUE,TRUE,FALSE,30,0.1,100
211,yes,TRUE,TRUE,FALSE,30,0.5,0
212,yes,TRUE,TRUE,FALSE,30,0.5,0.1
213,yes,TRUE,TRUE,FALSE,30,0.5,0.5
214,yes,TRUE,TRUE,FALSE,30,0.5,20
215,yes,TRUE,TRUE,FALSE,30,0.5,100
216,yes,TRUE,TRUE,FALSE,30,10,0
217,yes,TRUE,TRUE,FALSE,30,10,0.1
218,yes,TRUE,TRUE,FALSE,30,10,0.5
219,yes,TRUE,TRUE,FALSE,30,10,20
220,yes,TRUE,TRUE,FALSE,30,10,100
221,yes,TRUE,TRUE,FALSE,30,100,0
222,yes,TRUE,TRUE,FALSE,30,100,0.1
223,yes,TRUE,TRUE,FALSE,30,100,0.5
224,yes,TRUE,TRUE,FALSE,30,100,20
225,yes,TRUE,TRUE,FALSE,30,100,100
226,yes,TRUE,TRUE,FALSE,100,0,0
227,yes,TRUE,TRUE,FALSE,100,0,0.1
228,yes,TRUE,TRUE,FALSE,100,0,0.5
229,yes,TRUE,TRUE,FALSE,100,0,20
230,yes,TRUE,TRUE,FALSE,100,0,100
231,yes,TRUE,TRUE,FALSE,100,0.1,0
232,yes,TRUE,TRUE,FALSE,100,0.1,0.1
233,yes,TRUE,TRUE,FALSE,100,0.1,0.5
234,yes,TRUE,TRUE,FALSE,100,0.1,20
235,yes,TRUE,TRUE,FALSE,100,0.1,100
236,yes,TRUE,TRUE,FALSE,100,0.5,0
237,yes,TRUE,TRUE,FALSE,100,0.5,0.1
238,yes,TRUE,TRUE,FALSE,100,0.5,0.5
239,yes,TRUE,TRUE,FALSE,100,0.5,20
240,yes,TRUE,TRUE,FALSE,100,0.5,100
241,yes,TRUE,TRUE,FALSE,100,10,0
242,yes,TRUE,TRUE,FALSE,100,10,0.1
243,yes,TRUE,TRUE,FALSE,100,10,0.5
244,yes,TRUE,TRUE,FALSE,100,10,20
245,yes,TRUE,TRUE,FALSE,100,10,100
246,yes,TRUE,TRUE,FALSE,100,100,0
247,yes,TRUE,TRUE,FALSE,100,100,0.1
248,yes,TRUE,TRUE,FALSE,100,100,0.5
249,yes,TRUE,TRUE,FALSE,100,100,20
250,yes,TRUE,TRUE,FALSE,100,100,100
251,yes,TRUE,FALSE,TRUE,0,0,0
252,yes,TRUE,FALSE,TRUE,0,0,0.1
253,yes,TRUE,FALSE,TRUE,0,0,0.5
254,yes,TRUE,FALSE,TRUE,0,0,20
255,yes,TRUE,FALSE,TRUE,0,0,100
256,yes,TRUE,FALSE,TRUE,0,0.1,0
257,yes,TRUE,FALSE,TRUE,0,0.1,0.1
258,yes,TRUE,FALSE,TRUE,0,0.1,0.5
259,yes,TRUE,FALSE,TRUE,0,0.1,20
260,yes,TRUE,FALSE,TRUE,0,0.1,100
261,yes,TRUE,FALSE,TRUE,0,0.5,0
262,yes,TRUE,FALSE,TRUE,0,0.5,0.1
263,yes,TRUE,FALSE,TRUE,0,0.5,0.5
264,yes,TRUE,FALSE,TRUE,0,0.5,20
265,yes,TRUE,FALSE,TRUE,0,0.5,100
266,yes,TRUE,FALSE,TRUE,0,10,0
267,yes,TRUE,FALSE,TRUE,0,10,0.1
268,yes,TRUE,FALSE,TRUE,0,10,0.5
269,yes,TRUE,FALSE,TRUE,0,10,20
270,yes,TRUE,FALSE,TRUE,0,10,100
271,yes,TRUE,FALSE,TRUE,0,100,0
272,yes,TRUE,FALSE,TRUE,0,100,0.1
273,yes,TRUE,FALSE,TRUE,0,100,0.5
274,yes,TRUE,FALSE,TRUE,0,100,20
275,yes,TRUE,FALSE,TRUE,0,100,100
276,yes,TRUE,FALSE,TRUE,0.1,0,0
277,yes,TRUE,FALSE,TRUE,0.1,0,0.1
278,yes,TRUE,FALSE,TRUE,0.1,0,0.5
279,yes,TRUE,FALSE,TRUE,0.1,0,20
280,yes,TRUE,FALSE,TRUE,0.1,0,100
281,yes,TRUE,FALSE,TRUE,0.1,0.1,0
282,yes,TRUE,FALSE,TRUE,0.1,0.1,0.1
283,yes,TRUE,FALSE,TRUE,0.1,0.1,0.5
284,yes,TRUE,FALSE,TRUE,0.1,0.1,20
285,yes,TRUE,FALSE,TRUE,0.1,0.1,100
286,yes,TRUE,FALSE,TRUE,0.1,0.5,0
287,yes,TRUE,FALSE,TRUE,0.1,0.5,0.1
288,yes,TRUE,FALSE,TRUE,0.1,0.5,0.5
289,yes,TRUE,FALSE,TRUE,0.1,0.5,20
290,yes,TRUE,FALSE,TRUE,0.1,0.5,100
291,yes,TRUE,FALSE,TRUE,0.1,10,0
292,yes,TRUE,FALSE,TRUE,0.1,10,0.1
293,yes,TRUE,FALSE,TRUE,0.1,10,0.5
294,yes,TRUE,FALSE,TRUE,0.1,10,20
295,yes,TRUE,FALSE,TRUE,0.1,10,100
296,yes,TRUE,FALSE,TRUE,0.1,100,0
297,yes,TRUE,FALSE,TRUE,0.1,100,0.1
298,yes,TRUE,FALSE,TRUE,0.1,100,0.5
299,yes,TRUE,FALSE,TRUE,0.1,100,20
300,yes,TRUE,FALSE,TRUE,0.1,100,100
301,yes,TRUE,FALSE,TRUE,0.5,0,0
302,yes,TRUE,FALSE,TRUE,0.5,0,0.1
303,yes,TRUE,FALSE,TRUE,0.5,0,0.5
304,yes,TRUE,FALSE,TRUE,0.5,0,20
305,yes,TRUE,FALSE,TRUE,0.5,0,100
306,yes,TRUE,FALSE,TRUE,0.5,0.1,0
307,yes,TRUE,FALSE,TRUE,0.5,0.1,0.1
308,yes,TRUE,FALSE,TRUE,0.5,0.1,0.5
309,yes,TRUE,FALSE,TRUE,0.5,0.1,20
310,yes,TRUE,FALSE,TRUE,0.5,0.1,100
311,yes,TRUE,FALSE,TRUE,0.5,0.5,0
312,yes,TRUE,FALSE,TRUE,0.5,0.5,0.1
313,yes,TRUE,FALSE,TRUE,0.5,0.5,0.5
314,yes,TRUE,FALSE,TRUE,0.5,0.5,20
315,yes,TRUE,FALSE,TRUE,0.5,0.5,100
316,yes,TRUE,FALSE,TRUE,0.5,10,0
317,yes,TRUE,FALSE,TRUE,0.5,10,0.1
318,yes,TRUE,FALSE,TRUE,0.5,10,0.5
319,yes,TRUE,FALSE,TRUE,0.5,10,20
320,yes,TRUE,FALSE,TRUE,0.5,10,100
321,yes,TRUE,FALSE,TRUE,0.5,100,0
322,yes,TRUE,FALSE,TRUE,0.5,100,0.1
323,yes,TRUE,FALSE,TRUE,0.5,100,0.5
324,yes,TRUE,FALSE,TRUE,0.5,100,20
325,yes,TRUE,FALSE,TRUE,0.5,100,100
326,yes,TRUE,FALSE,TRUE,30,0,0
327,yes,TRUE,FALSE,TRUE,30,0,0.1
328,yes,TRUE,FALSE,TRUE,30,0,0.5
329,yes,TRUE,FALSE,TRUE,30,0,20
330,yes,TRUE,FALSE,TRUE,30,0,100
331,yes,TRUE,FALSE,TRUE,30,0.1,0
332,yes,TRUE,FALSE,TRUE,30,0.1,0.1
333,yes,TRUE,FALSE,TRUE,30,0.1,0.5
334,yes,TRUE,FALSE,TRUE,30,0.1,20
335,yes,TRUE,FALSE,TRUE,30,0.1,100
336,yes,TRUE,FALSE,TRUE,30,0.5,0
337,yes,TRUE,FALSE,TRUE,30,0.5,0.1
338,yes,TRUE,FALSE,TRUE,30,0.5,0.5
339,yes,TRUE,FALSE,TRUE,30,0.5,20
340,yes,TRUE,FALSE,TRUE,30,0.5,100
341,yes,TRUE,FALSE,TRUE,30,10,0
342,yes,TRUE,FALSE,TRUE,30,10,0.1
343,yes,TRUE,FALSE,TRUE,30,10,0.5
344,yes,TRUE,FALSE,TRUE,30,10,20
345,yes,TRUE,FALSE,TRUE,30,10,100
346,yes,TRUE,FALSE,TRUE,30,100,0
347,yes,TRUE,FALSE,TRUE,30,100,0.1
348,yes,TRUE,FALSE,TRUE,30,100,0.5
349,yes,TRUE,FALSE,TRUE,30,100,20
350,yes,TRUE,FALSE,TRUE,30,100,100
351,yes,TRUE,FALSE,TRUE,100,0,0
352,yes,TRUE,FALSE,TRUE,100,0,0.1
353,yes,TRUE,FALSE,TRUE,100,0,0.5
354,yes,TRUE,FALSE,TRUE,100,0,20
355,yes,TRUE,FALSE,TRUE,100,0,100
356,yes,TRUE,FALSE,TRUE,100,0.1,0
357,yes,TRUE,FALSE,TRUE,100,0.1,0.1
358,yes,TRUE,FALSE,TRUE,100,0.1,0.5
359,yes,TRUE,FALSE,TRUE,100,0.1,20
360,yes,TRUE,FALSE,TRUE,100,0.1,100
361,yes,TRUE,FALSE,TRUE,100,0.5,0
362,yes,TRUE,FALSE,TRUE,100,0.5,0.1
